"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyYearLabel","SurveyType","SurveyYear","DHS_CountryCode","FileName","CountryName","URLS","Africa","avail"
"1756","Flat ASCII data (.dat)","32520","GPS Datasets","301","GH2008DHS","Geographic Data","March, 05 2012 18:26:54","2008","DHS","2008","GH","GHGE5AFL.zip","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHGE5AFL.zip&Tp=2&Ctry_Code=GH&surv_id=301&dm=1&dmode=nm",1,"publicly available"
"1757","Flat ASCII data (.dat)","53418","GPS Datasets","437","GH2014DHS","Geographic Data","December, 29 2015 11:45:05","2014","DHS","2014","GH","GHGE71FL.zip","Ghana","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GHGE71FL.zip&Tp=2&Ctry_Code=GH&surv_id=437&dm=1&dmode=nm",1,"publicly available"
"1760","Stata dataset (.dta)","2993855","Survey Datasets","154","GN1999DHS","Births Recode","May, 17 2007 13:13:44","1999","DHS","1999","GN","GNBR41dt.zip","Guinea","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GNBR41DT.zip&Tp=1&Ctry_Code=GN&surv_id=154&dm=1&dmode=nm",1,"publicly available"
"1764","Stata dataset (.dta)","3287181","Survey Datasets","249","GN2005DHS","Births Recode","November, 18 2008 13:08:50","2005","DHS","2005","GN","GNBR52dt.zip","Guinea","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GNBR52DT.zip&Tp=1&Ctry_Code=GN&surv_id=249&dm=1&dmode=nm",1,"publicly available"
"1768","Stata dataset (.dta)","3325218","Survey Datasets","391","GN2012DHS","Births Recode","April, 25 2017 14:13:23","2012","DHS","2012","GN","GNBR62DT.ZIP","Guinea","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GNBR62DT.zip&Tp=1&Ctry_Code=GN&surv_id=391&dm=1&dmode=nm",1,"publicly available"
"1870","Flat ASCII data (.dat)","72752","GPS Datasets","154","GN1999DHS","Geographic Data","March, 05 2012 18:26:54","1999","DHS","1999","GN","GNGE42FL.zip","Guinea","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GNGE42FL.zip&Tp=2&Ctry_Code=GN&surv_id=154&dm=1&dmode=nm",1,"publicly available"
"1871","Flat ASCII data (.dat)","64403","GPS Datasets","249","GN2005DHS","Geographic Data","March, 05 2012 18:26:54","2005","DHS","2005","GN","GNGE52FL.zip","Guinea","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GNGE52FL.zip&Tp=2&Ctry_Code=GN&surv_id=249&dm=1&dmode=nm",1,"publicly available"
"1872","Flat ASCII data (.dat)","41473","GPS Datasets","391","GN2012DHS","Geographic Data","March, 03 2014 10:44:21","2012","DHS","2012","GN","GNGE61FL.ZIP","Guinea","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=GNGE61FL.zip&Tp=2&Ctry_Code=GN&surv_id=391&dm=1&dmode=nm",1,"publicly available"
"1873","Stata dataset (.dta)","1464971","Survey Datasets","20","KE1989DHS","Births Recode","June, 04 2007 21:10:20","1989","DHS","1989","KE","KEBR03dt.zip","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEBR03DT.zip&Tp=1&Ctry_Code=KE&surv_id=20&dm=1&dmode=nm",1,"publicly available"
"1877","Stata dataset (.dta)","2924653","Survey Datasets","56","KE1993DHS","Births Recode","May, 18 2007 10:39:06","1993","DHS","1993","KE","KEBR33dt.zip","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEBR33DT.zip&Tp=1&Ctry_Code=KE&surv_id=56&dm=1&dmode=nm",1,"publicly available"
"1881","Stata dataset (.dta)","3017229","Survey Datasets","115","KE1998DHS","Births Recode","May, 18 2007 09:59:16","1998","DHS","1998","KE","KEBR3Adt.zip","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEBR3ADT.zip&Tp=1&Ctry_Code=KE&surv_id=115&dm=1&dmode=nm",1,"publicly available"
"1885","Stata dataset (.dta)","2936003","Survey Datasets","216","KE2003DHS","Births Recode","November, 19 2010 11:28:14","2003","DHS","2003","KE","KEBR42DT.ZIP","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEBR42DT.zip&Tp=1&Ctry_Code=KE&surv_id=216&dm=1&dmode=nm",1,"publicly available"
"1889","Stata dataset (.dta)","3592675","Survey Datasets","300","KE2008DHS","Births Recode","November, 04 2010 13:04:29","2008-09","DHS","2008","KE","KEBR52DT.ZIP","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEBR52DT.zip&Tp=1&Ctry_Code=KE&surv_id=300&dm=1&dmode=nm",1,"publicly available"
"1893","Stata dataset (.dta)","10688934","Survey Datasets","451","KE2014DHS","Births Recode","September, 27 2019 17:04:40","2014","DHS","2014","KE","KEBR72DT.ZIP","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEBR72DT.zip&Tp=1&Ctry_Code=KE&surv_id=451&dm=1&dmode=nm",1,"publicly available"
"2088","Flat ASCII data (.dat)","45677","GPS Datasets","216","KE2003DHS","Geographic Data","March, 06 2012 14:44:13","2003","DHS","2003","KE","KEGE43FL.zip","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEGE43FL.zip&Tp=2&Ctry_Code=KE&surv_id=216&dm=1&dmode=nm",1,"publicly available"
"2089","Flat ASCII data (.dat)","44298","GPS Datasets","300","KE2008DHS","Geographic Data","March, 05 2012 18:26:54","2008-09","DHS","2008","KE","KEGE52FL.zip","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEGE52FL.zip&Tp=2&Ctry_Code=KE&surv_id=300&dm=1&dmode=nm",1,"publicly available"
"2090","Flat ASCII data (.dat)","136583","GPS Datasets","451","KE2014DHS","Geographic Data","January, 28 2016 09:22:12","2014","DHS","2014","KE","KEGE71FL.zip","Kenya","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KEGE71FL.zip&Tp=2&Ctry_Code=KE&surv_id=451&dm=1&dmode=nm",1,"publicly available"
"2092","Stata dataset (.dta)","2690743","Survey Datasets","256","LS2004DHS","Births Recode","June, 15 2007 15:08:37","2004","DHS","2004","LS","LSBR41dt.zip","Lesotho","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LSBR41DT.zip&Tp=1&Ctry_Code=LS&surv_id=256&dm=1&dmode=nm",1,"publicly available"
"2096","Stata dataset (.dta)","2730751","Survey Datasets","317","LS2009DHS","Births Recode","November, 10 2015 10:50:48","2009","DHS","2009","LS","LSBR61DT.ZIP","Lesotho","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LSBR61DT.zip&Tp=1&Ctry_Code=LS&surv_id=317&dm=1&dmode=nm",1,"publicly available"
"2100","Stata dataset (.dta)","2221297","Survey Datasets","462","LS2014DHS","Births Recode","June, 14 2016 11:35:04","2014","DHS","2014","LS","LSBR71DT.ZIP","Lesotho","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LSBR71DT.zip&Tp=1&Ctry_Code=LS&surv_id=462&dm=1&dmode=nm",1,"publicly available"
"2187","Flat ASCII data (.dat)","92495","GPS Datasets","256","LS2004DHS","Geographic Data","March, 05 2012 18:26:54","2004","DHS","2004","LS","LSGE42FL.zip","Lesotho","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LSGE42FL.zip&Tp=2&Ctry_Code=LS&surv_id=256&dm=1&dmode=nm",1,"publicly available"
"2188","Flat ASCII data (.dat)","43561","GPS Datasets","317","LS2009DHS","Geographic Data","April, 21 2017 17:17:17","2009","DHS","2009","LS","LSGE62FL.zip","Lesotho","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LSGE62FL.zip&Tp=2&Ctry_Code=LS&surv_id=317&dm=1&dmode=nm",1,"publicly available"
"2189","Flat ASCII data (.dat)","45015","GPS Datasets","462","LS2014DHS","Geographic Data","June, 21 2016 10:03:31","2014","DHS","2014","LS","LSGE71FL.zip","Lesotho","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LSGE71FL.zip&Tp=2&Ctry_Code=LS&surv_id=462&dm=1&dmode=nm",1,"publicly available"
"2190","Stata dataset (.dta)","921633","Survey Datasets","7","LB1986DHS","Births Recode","June, 04 2007 21:18:56","1986","DHS","1986","LB","LBBR01dt.zip","Liberia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LBBR01DT.zip&Tp=1&Ctry_Code=LB&surv_id=7&dm=1&dmode=nm",1,"publicly available"
"2194","Stata dataset (.dta)","3097126","Survey Datasets","271","LB2007DHS","Births Recode","July, 07 2011 10:46:19","2007","DHS","2007","LB","LBBR51DT.ZIP","Liberia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LBBR51DT.zip&Tp=1&Ctry_Code=LB&surv_id=271&dm=1&dmode=nm",1,"publicly available"
"2202","Stata dataset (.dta)","3628255","Survey Datasets","435","LB2013DHS","Births Recode","July, 28 2014 12:48:55","2013","DHS","2013","LB","LBBR6ADT.ZIP","Liberia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LBBR6ADT.zip&Tp=1&Ctry_Code=LB&surv_id=435&dm=1&dmode=nm",1,"publicly available"
"2323","Flat ASCII data (.dat)","19203","GPS Datasets","7","LB1986DHS","Geographic Data","March, 05 2012 18:26:54","1986","DHS","1986","LB","LBGE03FL.zip","Liberia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LBGE03FL.zip&Tp=2&Ctry_Code=LB&surv_id=7&dm=1&dmode=nm",1,"publicly available"
"2324","Flat ASCII data (.dat)","38081","GPS Datasets","271","LB2007DHS","Geographic Data","April, 27 2017 13:17:44","2007","DHS","2007","LB","LBGE52FL.zip","Liberia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LBGE52FL.zip&Tp=2&Ctry_Code=LB&surv_id=271&dm=1&dmode=nm",1,"publicly available"
"2327","Flat ASCII data (.dat)","44376","GPS Datasets","435","LB2013DHS","Geographic Data","September, 23 2014 07:17:17","2013","DHS","2013","LB","LBGE6AFL.zip","Liberia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=LBGE6AFL.zip&Tp=2&Ctry_Code=LB&surv_id=435&dm=1&dmode=nm",1,"publicly available"
"2329","Stata dataset (.dta)","1915940","Survey Datasets","49","MD1992DHS","Births Recode","May, 21 2007 09:12:36","1992","DHS","1992","MD","MDBR21dt.zip","Madagascar","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MDBR21DT.zip&Tp=1&Ctry_Code=MD&surv_id=49&dm=1&dmode=nm",1,"publicly available"
"2333","Stata dataset (.dta)","2529918","Survey Datasets","110","MD1997DHS","Births Recode","May, 21 2007 09:47:48","1997","DHS","1997","MD","MDBR31dt.zip","Madagascar","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MDBR31DT.zip&Tp=1&Ctry_Code=MD&surv_id=110&dm=1&dmode=nm",1,"publicly available"
"2337","Stata dataset (.dta)","3130319","Survey Datasets","207","MD2004DHS","Births Recode","August, 21 2017 14:24:54","2003-04","DHS","2004","MD","MDBR42DT.ZIP","Madagascar","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MDBR42DT.zip&Tp=1&Ctry_Code=MD&surv_id=207&dm=1&dmode=nm",1,"publicly available"
"2341","Stata dataset (.dta)","6280427","Survey Datasets","296","MD2008DHS","Births Recode","June, 14 2010 10:27:09","2008-09","DHS","2008","MD","MDBR51DT.ZIP","Madagascar","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MDBR51DT.zip&Tp=1&Ctry_Code=MD&surv_id=296&dm=1&dmode=nm",1,"publicly available"
"2507","Flat ASCII data (.dat)","62774","GPS Datasets","110","MD1997DHS","Geographic Data","March, 05 2012 18:26:54","1997","DHS","1997","MD","MDGE32FL.zip","Madagascar","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MDGE32FL.zip&Tp=2&Ctry_Code=MD&surv_id=110&dm=1&dmode=nm",1,"publicly available"
"2508","Flat ASCII data (.dat)","43294","GPS Datasets","296","MD2008DHS","Geographic Data","March, 05 2012 18:26:54","2008-09","DHS","2008","MD","MDGE53FL.zip","Madagascar","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MDGE53FL.zip&Tp=2&Ctry_Code=MD&surv_id=296&dm=1&dmode=nm",1,"publicly available"
"2512","Stata dataset (.dta)","2286742","Survey Datasets","52","MW1992DHS","Births Recode","May, 21 2007 14:15:42","1992","DHS","1992","MW","MWBR22dt.zip","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWBR22DT.zip&Tp=1&Ctry_Code=MW&surv_id=52&dm=1&dmode=nm",1,"publicly available"
"2516","Stata dataset (.dta)","5548960","Survey Datasets","158","MW2000DHS","Births Recode","May, 21 2007 14:30:44","2000","DHS","2000","MW","MWBR41dt.zip","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWBR41DT.zip&Tp=1&Ctry_Code=MW&surv_id=158&dm=1&dmode=nm",1,"publicly available"
"2520","Stata dataset (.dta)","4935258","Survey Datasets","251","MW2004DHS","Births Recode","September, 07 2017 17:45:42","2004","DHS","2004","MW","MWBR4EDT.ZIP","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWBR4EDT.zip&Tp=1&Ctry_Code=MW&surv_id=251&dm=1&dmode=nm",1,"publicly available"
"2524","Stata dataset (.dta)","8927234","Survey Datasets","333","MW2010DHS","Births Recode","December, 22 2011 08:45:26","2010","DHS","2010","MW","MWBR61DT.ZIP","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWBR61DT.zip&Tp=1&Ctry_Code=MW&surv_id=333&dm=1&dmode=nm",1,"publicly available"
"2528","Stata dataset (.dta)","9130746","Survey Datasets","483","MW2015DHS","Births Recode","September, 29 2019 20:11:14","2015-16","DHS","2015","MW","MWBR7ADT.ZIP","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWBR7ADT.zip&Tp=1&Ctry_Code=MW&surv_id=483&dm=1&dmode=nm",1,"publicly available"
"2757","Flat ASCII data (.dat)","51333","GPS Datasets","158","MW2000DHS","Geographic Data","March, 05 2012 18:26:54","2000","DHS","2000","MW","MWGE43FL.zip","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWGE43FL.zip&Tp=2&Ctry_Code=MW&surv_id=158&dm=1&dmode=nm",1,"publicly available"
"2758","Flat ASCII data (.dat)","123630","GPS Datasets","251","MW2004DHS","Geographic Data","March, 05 2012 18:26:54","2004","DHS","2004","MW","MWGE4BFL.zip","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWGE4BFL.zip&Tp=2&Ctry_Code=MW&surv_id=251&dm=1&dmode=nm",1,"publicly available"
"2759","Flat ASCII data (.dat)","83290","GPS Datasets","333","MW2010DHS","Geographic Data","April, 21 2017 17:15:13","2010","DHS","2010","MW","MWGE62FL.zip","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWGE62FL.zip&Tp=2&Ctry_Code=MW&surv_id=333&dm=1&dmode=nm",1,"publicly available"
"2762","Flat ASCII data (.dat)","86870","GPS Datasets","483","MW2015DHS","Geographic Data","March, 20 2017 12:29:00","2015-16","DHS","2015","MW","MWGE7AFL.zip","Malawi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MWGE7AFL.zip&Tp=2&Ctry_Code=MW&surv_id=483&dm=1&dmode=nm",1,"publicly available"
"2764","Stata dataset (.dta)","928764","Survey Datasets","12","ML1987DHS","Births Recode","June, 06 2007 10:55:10","1987","DHS","1987","ML","MLBR01dt.zip","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLBR01DT.zip&Tp=1&Ctry_Code=ML&surv_id=12&dm=1&dmode=nm",1,"publicly available"
"2768","Stata dataset (.dta)","3465361","Survey Datasets","77","ML1996DHS","Births Recode","May, 21 2007 13:28:06","1995-96","DHS","1996","ML","MLBR32dt.zip","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLBR32DT.zip&Tp=1&Ctry_Code=ML&surv_id=77&dm=1&dmode=nm",1,"publicly available"
"2772","Stata dataset (.dta)","5604027","Survey Datasets","159","ML2001DHS","Births Recode","June, 08 2007 09:46:20","2001","DHS","2001","ML","MLBR41dt.zip","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLBR41DT.zip&Tp=1&Ctry_Code=ML&surv_id=159&dm=1&dmode=nm",1,"publicly available"
"2776","Stata dataset (.dta)","6760928","Survey Datasets","276","ML2006DHS","Births Recode","January, 14 2015 19:37:16","2006","DHS","2006","ML","MLBR53DT.ZIP","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLBR53DT.zip&Tp=1&Ctry_Code=ML&surv_id=276&dm=1&dmode=nm",1,"publicly available"
"2780","Stata dataset (.dta)","4421278","Survey Datasets","405","ML2012DHS","Births Recode","January, 29 2019 11:53:29","2012-13","DHS","2012","ML","MLBR6ADT.ZIP","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLBR6ADT.zip&Tp=1&Ctry_Code=ML&surv_id=405&dm=1&dmode=nm",1,"publicly available"
"2784","Stata dataset (.dta)","5136245","Survey Datasets","517","ML2018DHS","Births Recode","September, 03 2019 16:54:39","2018","DHS","2018","ML","MLBR7HDT.ZIP","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLBR7HDT.zip&Tp=1&Ctry_Code=ML&surv_id=517&dm=1&dmode=nm",1,"publicly available"
"2998","Flat ASCII data (.dat)","35323","GPS Datasets","77","ML1996DHS","Geographic Data","March, 05 2012 18:26:54","1995-96","DHS","1996","ML","MLGE33FL.zip","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLGE33FL.zip&Tp=2&Ctry_Code=ML&surv_id=77&dm=1&dmode=nm",1,"publicly available"
"2999","Flat ASCII data (.dat)","97394","GPS Datasets","159","ML2001DHS","Geographic Data","March, 05 2012 18:26:54","2001","DHS","2001","ML","MLGE42FL.zip","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLGE42FL.zip&Tp=2&Ctry_Code=ML&surv_id=159&dm=1&dmode=nm",1,"publicly available"
"3000","Flat ASCII data (.dat)","115572","GPS Datasets","276","ML2006DHS","Geographic Data","March, 05 2012 18:26:54","2006","DHS","2006","ML","MLGE52FL.zip","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLGE52FL.zip&Tp=2&Ctry_Code=ML&surv_id=276&dm=1&dmode=nm",1,"publicly available"
"3002","Flat ASCII data (.dat)","59235","GPS Datasets","405","ML2012DHS","Geographic Data","August, 04 2017 09:45:45","2012-13","DHS","2012","ML","MLGE6BFL.zip","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLGE6BFL.zip&Tp=2&Ctry_Code=ML&surv_id=405&dm=1&dmode=nm",1,"publicly available"
"3004","Flat ASCII data (.dat)","43007","GPS Datasets","517","ML2018DHS","Geographic Data","September, 19 2019 10:49:16","2018","DHS","2018","ML","MLGE7AFL.ZIP","Mali","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MLGE7AFL.zip&Tp=2&Ctry_Code=ML&surv_id=517&dm=1&dmode=nm",1,"publicly available"
"3005","Stata dataset (.dta)","2039568","Survey Datasets","17","MA1987DHS","Births Recode","June, 06 2007 10:48:20","1987","DHS","1987","MA","MABR01dt.zip","Morocco","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MABR01DT.zip&Tp=1&Ctry_Code=MA&surv_id=17&dm=1&dmode=nm",1,"publicly available"
"3009","Stata dataset (.dta)","2492522","Survey Datasets","47","MA1992DHS","Births Recode","May, 18 2007 14:48:28","1992","DHS","1992","MA","MABR21dt.zip","Morocco","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MABR21DT.zip&Tp=1&Ctry_Code=MA&surv_id=47&dm=1&dmode=nm",1,"publicly available"
"3013","Stata dataset (.dta)","4171035","Survey Datasets","214","MA2003DHS","Births Recode","May, 05 2008 13:16:37","2003-04","DHS","2003","MA","MABR43dt.zip","Morocco","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MABR43DT.zip&Tp=1&Ctry_Code=MA&surv_id=214&dm=1&dmode=nm",1,"publicly available"
"3099","Flat ASCII data (.dat)","122114","GPS Datasets","214","MA2003DHS","Geographic Data","March, 05 2012 18:26:54","2003-04","DHS","2003","MA","MAGE43FL.zip","Morocco","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MAGE43FL.zip&Tp=2&Ctry_Code=MA&surv_id=214&dm=1&dmode=nm",1,"publicly available"
"3100","Stata dataset (.dta)","2773925","Survey Datasets","105","MZ1997DHS","Births Recode","May, 21 2007 15:25:12","1997","DHS","1997","MZ","MZBR31dt.zip","Mozambique","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MZBR31DT.zip&Tp=1&Ctry_Code=MZ&surv_id=105&dm=1&dmode=nm",1,"publicly available"
"3104","Stata dataset (.dta)","5625631","Survey Datasets","174","MZ2003DHS","Births Recode","May, 21 2007 15:40:50","2003","DHS","2003","MZ","MZBR41dt.zip","Mozambique","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MZBR41DT.zip&Tp=1&Ctry_Code=MZ&surv_id=174&dm=1&dmode=nm",1,"publicly available"
"3108","Stata dataset (.dta)","5451980","Survey Datasets","362","MZ2011DHS","Births Recode","February, 07 2014 16:51:05","2011","DHS","2011","MZ","MZBR62DT.ZIP","Mozambique","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MZBR62DT.zip&Tp=1&Ctry_Code=MZ&surv_id=362&dm=1&dmode=nm",1,"publicly available"
"3271","Flat ASCII data (.dat)","60958","GPS Datasets","362","MZ2011DHS","Geographic Data","May, 09 2013 10:38:53","2011","DHS","2011","MZ","MZGE61FL.ZIP","Mozambique","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=MZGE61FL.zip&Tp=2&Ctry_Code=MZ&surv_id=362&dm=1&dmode=nm",1,"publicly available"
"3274","Stata dataset (.dta)","2151367","Survey Datasets","48","NM1992DHS","Births Recode","May, 22 2007 12:09:40","1992","DHS","1992","NM","NMBR21dt.zip","Namibia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NMBR21DT.zip&Tp=1&Ctry_Code=NM&surv_id=48&dm=1&dmode=nm",1,"publicly available"
"3278","Stata dataset (.dta)","2188888","Survey Datasets","205","NM2000DHS","Births Recode","May, 22 2007 12:39:16","2000","DHS","2000","NM","NMBR41dt.zip","Namibia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NMBR41DT.zip&Tp=1&Ctry_Code=NM&surv_id=205&dm=1&dmode=nm",1,"publicly available"
"3282","Stata dataset (.dta)","2991648","Survey Datasets","284","NM2006DHS","Births Recode","April, 22 2009 10:51:15","2006-07","DHS","2006","NM","NMBR51DT.ZIP","Namibia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NMBR51DT.zip&Tp=1&Ctry_Code=NM&surv_id=284&dm=1&dmode=nm",1,"publicly available"
"3286","Stata dataset (.dta)","2839596","Survey Datasets","363","NM2013DHS","Births Recode","June, 22 2015 13:24:34","2013","DHS","2013","NM","NMBR61DT.ZIP","Namibia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NMBR61DT.zip&Tp=1&Ctry_Code=NM&surv_id=363&dm=1&dmode=nm",1,"publicly available"
"3405","Flat ASCII data (.dat)","58914","GPS Datasets","205","NM2000DHS","Geographic Data","March, 05 2012 18:26:54","2000","DHS","2000","NM","NMGE42FL.zip","Namibia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NMGE42FL.zip&Tp=2&Ctry_Code=NM&surv_id=205&dm=1&dmode=nm",1,"publicly available"
"3406","Flat ASCII data (.dat)","51565","GPS Datasets","284","NM2006DHS","Geographic Data","March, 23 2017 16:53:42","2006-07","DHS","2006","NM","NMGE53FL.zip","Namibia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NMGE53FL.zip&Tp=2&Ctry_Code=NM&surv_id=284&dm=1&dmode=nm",1,"publicly available"
"3407","Flat ASCII data (.dat)","63822","GPS Datasets","363","NM2013DHS","Geographic Data","February, 05 2015 07:46:06","2013","DHS","2013","NM","NMGE61FL.ZIP","Namibia","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NMGE61FL.zip&Tp=2&Ctry_Code=NM&surv_id=363&dm=1&dmode=nm",1,"publicly available"
"3408","Stata dataset (.dta)","2591149","Survey Datasets","53","NI1992DHS","Births Recode","May, 22 2007 11:44:08","1992","DHS","1992","NI","NIBR22dt.zip","Niger","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NIBR22DT.zip&Tp=1&Ctry_Code=NI&surv_id=53&dm=1&dmode=nm",1,"publicly available"
"3412","Stata dataset (.dta)","2864772","Survey Datasets","99","NI1998DHS","Births Recode","May, 22 2007 11:53:38","1998","DHS","1998","NI","NIBR31dt.zip","Niger","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NIBR31DT.zip&Tp=1&Ctry_Code=NI&surv_id=99&dm=1&dmode=nm",1,"publicly available"
"3416","Stata dataset (.dta)","4441558","Survey Datasets","277","NI2006DHS","Births Recode","July, 22 2009 13:18:23","2006","DHS","2006","NI","NIBR51dt.zip","Niger","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NIBR51DT.zip&Tp=1&Ctry_Code=NI&surv_id=277&dm=1&dmode=nm",1,"publicly available"
"3420","Stata dataset (.dta)","5794060","Survey Datasets","407","NI2012DHS","Births Recode","January, 17 2014 10:46:08","2012","DHS","2012","NI","NIBR61DT.ZIP","Niger","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NIBR61DT.zip&Tp=1&Ctry_Code=NI&surv_id=407&dm=1&dmode=nm",1,"publicly available"
"3558","Flat ASCII data (.dat)","22233","GPS Datasets","53","NI1992DHS","Geographic Data","March, 05 2012 18:26:54","1992","DHS","1992","NI","NIGE23FL.zip","Niger","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NIGE23FL.zip&Tp=2&Ctry_Code=NI&surv_id=53&dm=1&dmode=nm",1,"publicly available"
"3559","Flat ASCII data (.dat)","29717","GPS Datasets","99","NI1998DHS","Geographic Data","March, 05 2012 18:26:54","1998","DHS","1998","NI","NIGE32FL.zip","Niger","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NIGE32FL.zip&Tp=2&Ctry_Code=NI&surv_id=99&dm=1&dmode=nm",1,"publicly available"
"3560","Stata dataset (.dta)","2563446","Survey Datasets","32","NG1990DHS","Births Recode","May, 22 2007 11:25:04","1990","DHS","1990","NG","NGBR21dt.zip","Nigeria","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=NGBR21DT.zip&Tp=1&Ctry_Code=NG&surv_id=32&dm=1&dmode=nm",1,"publicly available"
