"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyYearLabel","SurveyType","SurveyYear","DHS_CountryCode","FileName","CountryName","URLS","Africa","avail"
"273","Stata dataset (.dta)","6380046","Survey Datasets","329","BF2010DHS","Births Recode","July, 23 2014 12:10:37","2010","DHS","2010","BF","BFBR62DT.ZIP","Burkina Faso","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BFBR62DT.zip&Tp=1&Ctry_Code=BF&surv_id=329&dm=1&dmode=nm",1,"publicly available"
"445","Flat ASCII data (.dat)","24975","GPS Datasets","42","BF1993DHS","Geographic Data","March, 06 2012 14:42:17","1993","DHS","1993","BF","BFGE23FL.zip","Burkina Faso","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BFGE23FL.zip&Tp=2&Ctry_Code=BF&surv_id=42&dm=1&dmode=nm",1,"publicly available"
"446","Flat ASCII data (.dat)","49184","GPS Datasets","116","BF1999DHS","Geographic Data","March, 03 2012 11:31:37","1998-99","DHS","1999","BF","BFGE32FL.zip","Burkina Faso","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BFGE32FL.zip&Tp=2&Ctry_Code=BF&surv_id=116&dm=1&dmode=nm",1,"publicly available"
"447","Flat ASCII data (.dat)","51449","GPS Datasets","230","BF2003DHS","Geographic Data","April, 24 2017 10:36:10","2003","DHS","2003","BF","BFGE43FL.zip","Burkina Faso","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BFGE43FL.zip&Tp=2&Ctry_Code=BF&surv_id=230&dm=1&dmode=nm",1,"publicly available"
"448","Flat ASCII data (.dat)","62806","GPS Datasets","329","BF2010DHS","Geographic Data","April, 24 2017 10:35:31","2010","DHS","2010","BF","BFGE61FL.zip","Burkina Faso","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BFGE61FL.zip&Tp=2&Ctry_Code=BF&surv_id=329&dm=1&dmode=nm",1,"publicly available"
"451","Stata dataset (.dta)","1066739","Survey Datasets","16","BU1987DHS","Births Recode","June, 04 2007 19:38:02","1987","DHS","1987","BU","BUBR01dt.zip","Burundi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BUBR01DT.zip&Tp=1&Ctry_Code=BU&surv_id=16&dm=1&dmode=nm",1,"publicly available"
"455","Stata dataset (.dta)","3170421","Survey Datasets","346","BU2010DHS","Births Recode","July, 26 2012 12:35:47","2010","DHS","2010","BU","BUBR61DT.ZIP","Burundi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BUBR61DT.zip&Tp=1&Ctry_Code=BU&surv_id=346&dm=1&dmode=nm",1,"publicly available"
"459","Stata dataset (.dta)","6761713","Survey Datasets","463","BU2016DHS","Births Recode","April, 04 2018 11:49:01","2016-17","DHS","2016","BU","BUBR70DT.ZIP","Burundi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BUBR70DT.zip&Tp=1&Ctry_Code=BU&surv_id=463&dm=1&dmode=nm",1,"publicly available"
"556","Flat ASCII data (.dat)","42119","GPS Datasets","346","BU2010DHS","Geographic Data","April, 24 2017 10:36:47","2010","DHS","2010","BU","BUGE61FL.zip","Burundi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BUGE61FL.zip&Tp=2&Ctry_Code=BU&surv_id=346&dm=1&dmode=nm",1,"publicly available"
"558","Flat ASCII data (.dat)","66494","GPS Datasets","463","BU2016DHS","Geographic Data","April, 05 2018 10:23:01","2016-17","DHS","2016","BU","BUGE71FL.ZIP","Burundi","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BUGE71FL.zip&Tp=2&Ctry_Code=BU&surv_id=463&dm=1&dmode=nm",1,"publicly available"
